Date,Adj Close,Volume,Surprise_EPS,Total Sentiment,Avg Sentiment,Weekly Sentiment,Monthly Sentiment,Quarterly Sentiment,weekly stock,monthly stock,quarterly stock
2020-10-19,200.05999755859372,6566700,0.23,2.7957,0.55914,1.1301225,5.015654125,19.304635722222223,-3.8738378959192845,10.766774371579817,27.89148461990574
2020-10-20,201.9600067138672,4867700,0.23,1.821,0.45525,1.28513875,5.041526125,18.8795855,-3.4264276082831135,13.98296162387479,27.89148461990574
2020-10-21,213.07000732421875,17247200,0.23,6.9216000000000015,0.23071999999999998,1.4353349999999998,5.0720473749999995,18.469977166666666,-12.643732818018306,10.531743751466308,27.89148461990574
2020-10-22,203.92999267578125,12398300,0.23,8.924199999999997,0.4249619047619047,1.5764342261904762,5.106460672619046,18.075474187830682,-7.929190776097957,15.946651027523437,27.89148461990574
2020-10-23,203.0399932861328,6644700,0.23,10.899700000000005,0.4739000000000001,1.6189384523809525,5.150845517857142,17.68789078571429,-11.441093624743349,17.08038272326858,27.89148461990574
2020-10-26,197.22000122070312,7716000,0.23,4.5600000000000005,0.3257142857142857,1.57774625,5.202720720238096,17.29523643121693,-1.4856545565535346,23.46111144208014,27.89148461990574
2020-10-27,200.42999267578125,4754400,0.23,0.5749999999999998,0.057499999999999975,1.4980690476190477,5.251676279761904,16.902727791005294,2.0605722864507774,19.463159802000398,27.89148461990574
2020-10-28,192.30999755859372,8050000,0.23,1.1155,0.3718333333333333,1.3877879761904763,5.298865172619047,16.52072063227514,5.418334096629848,24.091312162249245,27.89148461990574
2020-10-29,195.0399932861328,7627100,0.23,1.6831,0.84155,1.3907294047619045,5.363888648809523,16.157926621693125,-5.291218427335452,20.86238917251811,27.89148461990574
2020-10-30,186.1300048828125,12029700,0.23,4.942,0.8236666666666667,1.5505428571428572,5.458042541666666,15.819366129629632,-1.4882094234107524,24.122920925486152,27.89148461990574
2020-11-02,187.75999450683597,14386000,0.13,3.2219,0.20136875,1.7896284970238094,5.565322319940475,15.500328253306877,2.4392852391609496,23.30102326372147,27.89148461990574
2020-11-03,179.80999755859375,31656000,0.13,9.9006,0.3535928571428571,2.037436160714286,5.673976138392857,15.197992172619047,5.166569529536065,30.248595811211583,27.89148461990574
2020-11-04,194.2899932861328,16107000,0.13,4.753,0.9506,2.220593824404762,5.802734778273809,14.920682679232804,-2.918317136691157,19.367958301071337,27.89148461990574
2020-11-05,204.55999755859372,15188500,0.13,5.0906,0.636325,2.232427976190476,5.958666543154762,14.671541241402117,-6.169336755869206,14.83672588274365,27.89148461990574
2020-11-06,202.72999572753903,8075100,0.13,2.4308,0.4861599999999999,2.2794927529761906,6.130160433035713,14.445407414682538,-5.144770332752689,11.887735713221783,27.89148461990574
2020-11-09,184.72000122070312,18986400,0.13,0.35239999999999994,0.11746666666666665,2.2720861011904763,6.304244989583334,14.236516106481483,2.9233401152008827,27.24122549420485,27.89148461990574
2020-11-10,183.3600006103516,13144300,0.13,1.9552,0.4888,2.121966949404762,6.48098621279762,14.044896650132273,4.112125469586818,32.23167861408652,27.89148461990574
2020-11-11,192.33999633789062,9151700,0.13,3.9334,0.7866799999999999,2.056271964285714,6.677114436011905,13.877984749338623,0.17157213129762222,23.479257836095186,27.89148461990574
2020-11-12,189.1000061035156,7096100,0.13,0.8432000000000001,0.14053333333333334,1.8329725,6.8839229925595244,13.731910774470897,6.197779398424495,25.66895384422223,27.89148461990574
2020-11-13,188.6199951171875,6017200,0.13,3.7675,0.7535000000000001,1.8277129166666666,7.095298632440476,13.606306058862433,9.214296115326743,29.83776918472019,27.89148461990574
2020-11-16,191.94000244140625,10127800,0.13,2.3195,0.7731666666666667,2.0089949999999996,7.311600188988093,13.508199861772486,11.732835253732816,26.112323892716248,27.89148461990574
2020-11-17,192.3000030517578,6448800,0.13,1.9619,0.490475,2.0786370833333336,7.521273287202383,13.434669683201058,9.927195025968109,24.69578236126861,27.89148461990574
2020-11-18,190.1199951171875,8095400,0.13,3.1336000000000004,0.3917000000000001,2.2974775000000003,7.731202260416666,13.381477004629625,12.623606467697787,30.049445797428255,27.89148461990574
2020-11-19,190.8999938964844,9391500,0.13,2.2336,0.5584,2.3085345833333335,7.944599638392857,13.349376548280418,13.431115877118211,27.951808442322974,27.89148461990574
2020-11-20,192.6699981689453,11514100,0.13,2.3286,0.7761999999999999,2.249258333333333,8.158918921130953,13.34264053637566,10.323350588402244,29.04967133057481,27.89148461990574
2020-11-23,200.82000732421875,12020000,0.13,3.7707,0.7541399999999999,2.3299495833333332,8.384015989583334,13.363443857804226,6.831981606177067,25.48550483476104,27.89148461990574
2020-11-24,206.0,14781600,0.13,1.8984,0.2109333333333333,2.3026575,8.626579177083332,13.405505771825387,5.713594307019858,20.266990291262136,27.89148461990574
2020-11-25,214.4600067138672,13817500,0.13,2.3552,0.23551999999999998,2.2434204166666665,8.871337031250004,13.463063833994708,1.6180107494558287,12.375264597255423,27.89148461990574
2020-11-27,211.38999938964844,5363200,0.13,1.8683,0.6227666666666667,2.1450666666666667,9.089382885416669,13.540693970238094,2.625480423758207,8.775251007766542,27.89148461990574
2020-11-30,214.1199951171875,12976100,0.13,1.3573,0.4524333333333333,1.9053699999999998,9.263547906249997,13.640806328703704,-1.550528741424948,11.054548248046972,27.89148461990574
2020-12-01,216.5399932861328,10147000,0.13,3.9913,0.39913,1.7579141666666667,9.420250239583332,13.76091605753968,-0.5541687380845759,8.206338239320015,27.89148461990574
2020-12-02,212.55999755859372,7537400,0.13,0.6705,0.1341,1.6658233333333332,9.575035242559524,13.897486119708992,0.7056831093472863,8.206338239320015,27.89148461990574
2020-12-03,214.5399932861328,7645200,0.13,0.0,0.0,1.4563991666666665,9.680463102678573,14.046081737433857,2.9132097490393556,8.206338239320015,27.89148461990574
2020-12-04,217.7700042724609,6214600,0.13,2.9092,0.4848666666666667,1.33051,9.731166379464288,14.204888651455024,1.7587370877133364,8.206338239320015,27.89148461990574
2020-12-07,217.92999267578125,5363400,0.13,0.9520000000000001,0.10577777777777778,1.084233611111111,9.75301151736111,14.367036614858899,5.630250394545401,8.206338239320015,27.89148461990574
2020-12-08,216.94000244140625,5419600,0.13,3.5232,0.5033142857142857,0.9556157936507936,9.772402623511907,14.530396712301584,8.559966744927701,8.206338239320015,27.89148461990574
2020-12-09,210.8000030517578,7807500,0.13,2.2313,0.2789125,1.052417767857143,9.793536065972221,14.696892662918863,12.167928617243199,8.206338239320015,27.89148461990574
2020-12-10,215.33999633789062,6556800,0.13,3.2632,0.8158,1.2238447420634921,9.790763320932541,14.869996530202815,10.392869538130746,8.206338239320015,27.89148461990574
2020-12-11,214.05999755859372,4283400,0.13,0.7813000000000001,0.19532500000000005,1.4909965773809524,9.779408034226188,15.048779564153438,13.748485597601961,8.206338239320015,27.89148461990574
2020-12-14,220.7899932861328,9759400,0.13,3.2234,0.402925,1.64074751984127,9.753449205853174,15.22865426477072,8.446944935182799,8.206338239320015,27.89148461990574
2020-12-15,221.6000061035156,6508100,0.13,1.3433,0.44776666666666665,1.762983878968254,9.69529471081349,15.412425539462076,7.689527444404934,8.206338239320015,27.89148461990574
2020-12-16,230.1999969482422,10110000,0.13,4.6918,0.36090769230769226,1.6887638278388277,9.619534741414837,15.599626529253147,2.4022584068670527,8.206338239320015,27.89148461990574
2020-12-17,235.50999450683597,8914100,0.13,2.7671,0.3074555555555556,1.6201896100427349,9.533524353212757,15.788698221798263,-1.902252911567646,8.206338239320015,27.89148461990574
2020-12-18,236.4499969482422,11534700,0.13,8.4988,0.6070571428571429,1.6277457493894996,9.43926383009005,15.982375610992401,-2.089237684569548,8.206338239320015,27.89148461990574
2020-12-21,237.72000122070312,8156000,0.13,2.5268,0.50536,1.6074866804029302,9.328555283157815,16.180509301773842,-1.4807354258731087,8.206338239320015,27.89148461990574
2020-12-22,243.4900054931641,6331700,0.13,1.5682000000000005,0.2613666666666667,1.676065431929182,9.180488260035105,16.3723885110738,-4.75173808501294,8.206338239320015,27.89148461990574
2020-12-23,239.44000244140625,6421300,0.13,3.5669999999999997,0.39633333333333337,1.738830989010989,9.010190427388585,16.554589053707105,-1.8919139379834489,8.206338239320015,27.89148461990574
2020-12-24,238.63999938964844,3053800,0.13,2.9391,0.3673875,1.690646099664225,8.847396282242062,16.735587161155205,-4.9488759591012785,8.206338239320015,27.89148461990574
2020-12-28,235.72999572753903,7079500,0.13,1.6695000000000002,0.5565000000000001,1.640847876984127,8.695119574595543,16.91783553183082,-0.2927087998608963,8.206338239320015,27.89148461990574
2020-12-29,231.02999877929688,8316100,0.13,-0.4019,-0.4019,1.4501182440476192,8.534578283615687,17.087382526845072,4.947412887920848,8.206338239320015,27.89148461990574
2020-12-30,231.50999450683597,6017600,0.13,2.4685,0.24685,1.1997983333333335,8.353208461385835,17.24299309328789,2.587363671241918,8.206338239320015,27.89148461990574
2020-12-31,234.1999969482422,5002700,0.13,4.6246,0.3303285714285714,1.0001311011904763,8.17348064362027,17.402056437508485,1.4688311213626892,8.206338239320015,27.89148461990574
2021-01-04,231.9199981689453,8148700,0.13,1.7098,0.28496666666666665,0.7197955357142858,8.035035028235654,17.5639712103005,5.596755704561378,8.206338239320015,27.89148461990574
2021-01-05,234.91000366210938,5047800,0.13,4.0465,0.40465,0.806914136904762,7.9292596211843716,17.712139871981403,3.0437162253714742,8.206338239320015,27.89148461990574
2021-01-06,226.8300018310547,9211700,0.13,0.975,0.325,0.9509410714285714,7.840255366910866,17.836966496625287,5.713526143129364,8.206338239320015,27.89148461990574
2021-01-07,235.0399932861328,7107900,0.13,3.8267,0.4251888888888888,1.1279478174603175,7.754641898351648,17.952905544108663,5.19486345415394,8.206338239320015,27.89148461990574
2021-01-08,242.4600067138672,6767700,0.13,3.5411,0.5058714285714286,1.4280640873015873,7.6683502651098925,18.072412781627328,0.7423854421867548,8.206338239320015,27.89148461990574
2021-01-11,237.5,5073100,0.13,0.6369,0.6369,1.5846053571428569,7.587779292582419,18.18119097152693,4.6905260587993425,8.206338239320015,27.89148461990574
2021-01-12,237.63999938964844,4145600,0.13,1.5808999999999995,0.5269666666666666,1.7721007936507935,7.508929070054947,18.273191568833955,6.042754017519612,8.206338239320015,27.89148461990574
2021-01-13,244.8999938964844,7354900,0.13,3.0233000000000003,0.2519416666666667,1.8925693452380952,7.4419898891941365,18.35445814762245,1.1637428234156069,8.206338239320015,27.89148461990574
2021-01-14,242.05999755859372,6976700,0.13,2.6506,0.22088333333333326,1.8865646825396825,7.382503416666667,18.433119967151686,-0.43790695252615447,8.206338239320015,27.89148461990574
2021-01-15,239.7899932861328,8373300,0.13,9.2775,0.8434090909090909,1.8741247925685425,7.340781578463204,18.51569022102436,-4.107757254479306,8.206338239320015,27.89148461990574
2021-01-19,247.25,7436800,0.13,1.2635999999999998,0.3159,1.7584265692640693,7.3166786801393044,18.58835324257378,-3.8260896719381954,8.206338239320015,27.89148461990574
2021-01-20,244.25999450683597,5803200,0.13,1.3194,0.2199,1.6780297348484847,7.283997646894771,18.65192041227137,-4.073527049868078,8.206338239320015,27.89148461990574
2021-01-21,248.63999938964844,10336600,0.13,7.133800000000001,0.4755866666666667,1.7325557575757575,7.246447923174048,18.70890335974673,-4.073527049868078,8.206338239320015,27.89148461990574
2021-01-22,252.0,7800500,0.13,4.8112,0.4811200000000001,1.6448822348484848,7.232738032786658,18.748146010925808,-4.073527049868078,8.206338239320015,27.89148461990574
2021-01-25,247.75,8499400,0.13,0.3987,0.19935,1.5808378787878787,7.227281725732599,18.77242406951228,-4.073527049868078,8.206338239320015,27.89148461990574
2021-01-26,241.0,7883000,0.13,4.0563,0.5794714285714286,1.6146967965367967,7.214271246059496,18.791307366193998,-4.073527049868078,8.206338239320015,27.89148461990574
